EP011963,              EMILY,      7,
19630928, 1200,  , TS, 22.1N, 106.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630928, 1800,  , TS, 22.8N, 106.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630929, 0000,  , TS, 23.9N, 106.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP071963,               MONA,      7,
19631017, 1200,  , HU, 15.2N, 110.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631017, 1800,  , HU, 15.9N, 110.3W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631018, 0000,  , HU, 17.1N, 110.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631018, 0600,  , HU, 19.0N, 110.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631018, 1200,  , HU, 20.9N, 110.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631018, 1800,  , HU, 22.4N, 108.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19631019, 0000,  , HU, 23.8N, 105.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
